"start","attribute","end","recallloc"
2,"ca",5,0.00120076849183477
11.149206348,"amc",19.040909092,0.00100730294636112
3,"max_cc",6.2,0.00084328882642305
68,"loc",141.2,0.000825082508250825
0,"lcom3",0.5571739128,0.000796178343949045
21,"rfc",34.4,0.000795861520095503
1,"ca",2,0.000791347929306252
6,"cbo",8,0.000750300120048019
6,"ce",8,0.000740535036563917
1.25,"avg_cc",1.8019,0.000733339444495371
0,"cam",0.2874458876,0.000710732054015636
0,"dit",1,0.000701754385964912
7,"npm",13,0.000675154320987654
55,"rfc",186,0.000672080649677961
0.7961904764,"lcom3",0.9261779512,0.000670191376870951
12,"cbo",103,0.00065607231374836
0.2874458876,"cam",0.375,0.000655185323848746
8,"cbo",12,0.000651720542231491
0,"moa",1,0.000650533437418683
5,"ca",99,0.000628761340159885
19.040909092,"amc",26.800000002,0.000626959247648903
16.2,"wmc",71,0.000616315553563424
63.4,"lcom",2247,0.000610873549175321
0.5571739128,"lcom3",0.7,0.000605326876513317
0,"ic",1,0.000604448742746615
3,"lcom",11,0.00060156406657309
0,"noc",34,0.000590405904059041
0,"cbm",1,0.000579626141138965
1,"moa",7,0.000575650004797083
3,"npm",5,0.000571319748619311
0.3833333334,"dam",1,0.000570727392061182
9,"wmc",16.2,0.000552486187845304
271.8,"loc",507,0.000552425146392664
507,"loc",2193,0.00052932967614648
8,"ce",21,0.000508949020273136
26.800000002,"amc",40.069281046,0.000508130081300813
1.8019,"avg_cc",5.8696,0.000505902192242833
3,"ce",6,0.000503524672708963
2,"max_cc",3,0.000501588363149975
0.75,"avg_cc",1,0.000491883915395967
3,"dit",6,0.000490737332842596
13,"npm",59,0.000475027144408252
0.7613945578,"mfa",0.905480631,0.000472869133467313
1,"max_cc",2,0.000470145745181006
0,"npm",3,0.000458295142071494
1,"ce",3,0.000458225141286085
6.2,"max_cc",35,0.000455462294228642
1,"cbm",2,0.000443262411347518
141.2,"loc",271.8,0.000428357249946455
0.905480631,"mfa",1,0.00042025635637739
0.5,"cam",0.71,0.000415800415800416
0,"max_cc",1,0.000404694455685957
40.069281046,"amc",101,0.000396259312093834
0,"avg_cc",0.75,0.000392464678178964
1,"dit",3,0.000392208131781932
0,"mfa",0.7613945578,0.000390968624767862
0.7,"lcom3",0.7961904764,0.00039066315069831
6,"wmc",9,0.000388726919339164
1,"ic",2,0.000386249517188104
11,"lcom",63.4,0.00038555455596967
4,"wmc",6,0.000378071833648393
5,"npm",7,0.000359712230215827
12.8,"rfc",21,0.000346140533056421
2,"cbm",7,0.000346020761245675
0,"wmc",4,0.00033478406427854
1,"avg_cc",1.25,0.000320256204963971
0,"lcom",3,0.0003003003003003
2,"ic",4,0.000275216733177377
34.4,"rfc",55,0.000269251480883145
0,"ca",1,0.000251319426991706
0.9261779512,"lcom3",2,0.000234631628343501
0,"cbo",3,0.00023191094619666
0.375,"cam",0.5,0.000153515505066012
3,"cbo",6,0
0,"rfc",12.8,0
0,"ce",1,0
0,"loc",68,0
0,"dam",0.3833333334,0
0.71,"cam",1,0
0,"amc",11.149206348,0
