"start","attribute","end","recallloc"
49.2,"loc",127.8,0.00194893782888326
0,"loc",49.2,0.00172711571675302
8.6577777778,"amc",19.842857142,0.00129579455766286
0,"amc",8.6577777778,0.00125104253544621
1,"ce",3,0.00117878192534381
0,"rfc",8,0.00117785630153121
0,"npm",1,0.00110118683469962
0.625,"cam",1,0.00107181136120043
7,"cbo",10,0.00107037730800107
0.75,"avg_cc",1.06012,0.00104353011329756
19.842857142,"amc",31.4,0.00102476515798463
18,"rfc",30,0.00101364522417154
1,"max_cc",2,0.000987654320987654
8,"wmc",14,0.000987122537802306
0.9837604724,"mfa",1,0.000985894130138025
0,"wmc",3,0.000980584428319278
3,"lcom",10,0.000914599291185549
2,"max_cc",5,0.000914181236430122
0,"max_cc",1,0.000880798590722255
6,"ce",10,0.000856666215789711
2,"ca",4,0.000852272727272727
1,"npm",3,0.000830724007923829
0,"noc",36,0.000829187396351575
238.8,"loc",503.4,0.000820157652526541
3,"npm",5,0.000819597486567708
127.8,"loc",238.8,0.000812421014623578
0.8664935066,"mfa",0.9837604724,0.000781796486030531
4,"ca",8,0.00077646449831766
1,"ic",4,0.000763771759539191
5,"dit",8,0.000762434408216352
10,"lcom",43,0.000760745530620008
10,"cbo",15,0.000760167236792094
0.3648484852,"cam",0.493939394,0.00075125835774923
1.75,"avg_cc",2.6,0.000731401504597381
2,"cbm",25,0.000720887721737339
3,"wmc",5,0.000717875089734386
5,"max_cc",10,0.000715280653540639
5,"wmc",8,0.000712250712250712
0.750680272,"lcom3",0.8751612902,0.000693721817551162
0,"ce",1,0.00068661108386464
1.06012,"avg_cc",1.75,0.00068451201498721
0.493939394,"cam",0.625,0.000651234385175537
30,"rfc",55.8,0.000648901193978197
2,"dit",5,0.000636591265967831
0,"cbo",4,0.000616712920135677
0.25,"cam",0.3648484852,0.000608025942440211
8,"rfc",18,0.000602228244504667
1,"moa",2,0.00058923178905502
5,"npm",9,0.000577748431825685
0,"lcom",3,0.000571469390670762
1,"ca",2,0.000563380281690141
3,"ce",6,0.000551454992788665
0.2914285716,"dam",1,0.000543287207184174
4,"cbo",7,0.000537263028628444
43,"lcom",13445,0.000530422523415363
0,"avg_cc",0.75,0.00051559680329982
0,"lcom3",0.5738095234,0.000505196304849885
0.8751612902,"lcom3",2,0.000487049696463671
8,"ca",169,0.000480245294519662
0,"dit",1,0.000444060111716175
0,"cam",0.25,0.000425924611343792
1,"dit",2,0.00041564679259225
0,"ic",1,0.000410046130189646
55.8,"rfc",505,0.000407569680520948
2,"moa",17,0.000401897995695802
31.4,"amc",44.3,0.000393538104326951
0,"moa",1,0.000385788938378985
0.5738095234,"lcom3",0.750680272,0.000367689302539354
9,"npm",195,0.000363140172106433
10,"ce",60,0.000362602786193022
14,"wmc",413,0.000353329895528944
2.6,"avg_cc",20.5,0.000352526439482961
503.4,"loc",23590,0.00035157726349837
10,"max_cc",167,0.000349689907332175
15,"cbo",197,0.000338434926484413
1,"cbm",2,0.000332834082210018
0,"cbm",1,0.000328785138911721
0,"mfa",0.4417582422,0.000303674460977832
0.4417582422,"mfa",0.8664935066,0.000298660295247035
44.3,"amc",496,0.000294559486288256
0,"ca",1,0.000214592274678112
0,"dam",0.2914285716,0.00014436263894904
