"start","attribute","end","recallloc"
0,"loc",48,0.0116788321167883
0,"rfc",9,0.00727650727650728
0,"avg_cc",0.75,0.0038623595505618
0,"amc",10.522222224,0.00378071833648393
0,"wmc",3,0.00364697301239971
0,"npm",2.4,0.00353857041755131
0.73,"cam",1,0.00329188002926116
0,"max_cc",1,0.00250078149421694
0,"lcom",2,0.00248036378668871
9,"rfc",19,0.00225879315908358
2,"lcom",10.2,0.00210687607737981
48,"loc",126.4,0.00210378681626928
0.9108902688,"mfa",1,0.0019672131147541
3,"wmc",5,0.00172117039586919
10.522222224,"amc",17.33333333,0.0015748031496063
2.4,"npm",4,0.00124088723437258
0,"ca",1,0.00117822637656115
0.3746666666,"cam",0.5,0.0011703511053316
0.5,"cam",0.73,0.0011639185257032
3,"ce",6,0.00111903762764023
0,"lcom3",0.58,0.00111172873818788
6,"cbo",8,0.00107480653482373
126.4,"loc",247.4,0.00100925147182506
0.75,"mfa",0.9108902688,0.00100916659658565
8,"cbo",12,0.000953379731146916
1,"dit",3,0.000878040214241812
0.8211278198,"lcom3",2,0.000871116273281619
0,"cbo",3,0.000850099178237461
0.58,"lcom3",0.714285714,0.00080596413459601
0,"ce",1,0.000794912559618442
247.4,"loc",509.2,0.000768816790958715
0.75,"avg_cc",1,0.00076103500761035
8,"ce",28,0.000758826942820158
6,"ce",8,0.000752091755194134
9,"wmc",17,0.000747887218607434
3,"cbo",6,0.000745156482861401
19,"rfc",33.2,0.000742280285035629
0,"noc",40,0.000735680504466632
0,"moa",1,0.000735139676538542
5,"wmc",9,0.000696945057497967
10.2,"lcom",69.6,0.000677162688335873
33.2,"rfc",55,0.000675812664729337
25.993406596,"amc",36.707142856,0.00066730926076963
3,"dit",6,0.000665225345085648
3,"max_cc",7,0.00064065230052417
0,"dit",1,0.000618843793512454
7,"npm",13.6,0.000616957518068042
1,"ic",4,0.000615660155594112
1.25,"avg_cc",1.86784,0.000614628149969269
1.2,"ca",5,0.000587889476778366
1,"ce",3,0.000559858169263786
0,"dam",1,0.000555831265508685
1,"moa",9,0.000549601538884309
1.86784,"avg_cc",6.087,0.000546328671328671
2,"cbm",11,0.000542593597395551
0.2597619046,"cam",0.3746666666,0.000530996946767556
17.33333333,"amc",25.993406596,0.000503524672708963
36.707142856,"amc",208.1666667,0.000485837827333236
0,"cbm",2,0.000484300589232384
12,"cbo",136,0.000456350111805777
0.714285714,"lcom3",0.8211278198,0.00045525494276795
13.6,"npm",68,0.000452358432372414
7,"max_cc",35,0.000447878177135819
4,"npm",7,0.000441891294741494
2,"max_cc",3,0.000435983141985177
55,"rfc",196,0.000385019250962548
0,"mfa",0.75,0.000381721016468535
0,"ic",1,0.00036006841299847
1,"max_cc",2,0.000342231348391513
0,"cam",0.2597619046,0.000340150516603597
509.2,"loc",2040,0.000315397716520532
17,"wmc",77,0.00030821390044691
69.6,"lcom",2446,0.000291757840991977
1,"avg_cc",1.25,0.00026542800265428
5,"ca",135,0.000261130695913305
